  0123456789ABCDEF
  ┌────────────────
0 │ᵃᵇᶜᵈᵉᶠᴳᴴᶤᶨ¶ᵏᶪᵐⁿᵒ
1 │ᵖᴿᶳᵗᵘᵛᵂᵡᵞᶻᶴ⸠ϩэЧᵜ
2 │ !"#$%&'()*+,-./
3 │0123456789:;<=>?
4 │@ABCDEFGHIJKLMNO
5 │PQRSTUVWXYZ[\]^_
6 │`abcdefghijklmno
7 │pqrstuvwxyz{|}~Ȧ
8 │ḂĊḊĖḞĠḢİĿṀṄȮṖṘṠṪ
9 │ẆẊικȧḃċḋėḟġḣŀṁṅȯ
A │ṗṙṡṫẋƒΘΦ§ẠḄḌḤỊḶṂ
B │ṆỌṚṢṬ…≤≥≠₌⁺⁻⁾√∑«
C │»⌐∴∵⊻₀₁₂₃₄₅₆₇₈₉λ
D │ƛΩ₳µ∆øÞ½ʀɾ¯×÷£¥←
E │↑→↓±¤†0¬∧∨⁰¹²⌈⌊Ɠ
F │ɠ∥∦ı„”ð€“¶ᶿᶲ•≈¿ꜝ
